Wandb initialized. Project: exploration-marl
[DEBUG] Initialized episode trackers for 1 environments
[DEBUG _on_step] timestep=83, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=58.43227767944336, done=False
[DEBUG _on_step] timestep=84, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=59.32968521118164, done=False
[DEBUG _on_step] timestep=85, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=60.22709274291992, done=False
[DEBUG _on_step] timestep=86, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=61.15276336669922, done=False
[DEBUG _on_step] timestep=87, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=62.078433990478516, done=False
[DEBUG _on_step] timestep=88, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=63.00410461425781, done=False
[DEBUG _on_step] timestep=89, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=63.92977523803711, done=False
[DEBUG _on_step] timestep=90, rewards=[0.92566967], dones=[False]
[DEBUG] Env 0: reward=0.9256696701049805, accumulated=64.8554458618164, done=False
[DEBUG _on_step] timestep=91, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=65.75285339355469, done=False
[DEBUG _on_step] timestep=92, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=66.65026092529297, done=False
[DEBUG _on_step] timestep=93, rewards=[0.92237914], dones=[False]
[DEBUG] Env 0: reward=0.9223791360855103, accumulated=67.57263946533203, done=False
[DEBUG _on_step] timestep=94, rewards=[0.8974086], dones=[False]
[DEBUG] Env 0: reward=0.8974086046218872, accumulated=68.47004699707031, done=False
[DEBUG _on_step] timestep=95, rewards=[0.92237914], dones=[False]
